country,pr_1980,cl_1980,pr_1985,cl_1985,pr_1990,cl_1990,pr_1995,cl_1995,pr_2000,cl_2000,pr_2005,cl_2005,pr_2010,cl_2010,pr_2015,cl_2015,pr_2020,cl_2020,basic_water_access,basic_sanit_access,fin_services,improved_water_access,improved_sanit_access,limited_water_access,limited_sanit_access,safe_water_access,unimproved_water_access,unimproved_sanit_access,agricultural_land,teacher_sal,total_sch_adult,corrupt_business,childmort_ihme,continent,corruption_perception,conf_terr_deaths,dtp_vax_pct,humanrights_fsi,gdppc_ppp,gdppc_ppp_current,gini,gini3,gini2,hunger_index_ifpri,corrupt_gov,hdi_undp,humanrights_fariss,corrupt_judges,corrupt_legislature,corrupt_localgov,mil_spend_pct_gdp,mil_spend_total,cell_subscribers_per100,childmort_,no_water_access,no_sanit_access,gdppc_output_pwt,docs_perk,corrupt_police,regime,pop_est2,pop_est,pop_total,corrupt_exec,corrupt_relig,corrupt_tax,ruggedness,tax_rev_ictd,corrupt_trad,worldbank_region,col.belgium,col.britain,col.france,col.germany,col.italy,col.netherlands,col.portugal,col.spain,colstart.belgium_max,colstart.britain_max,colstart.france_max,colstart.germany_max,colstart.italy_max,colstart.netherlands_max,colstart.portugal_max,colstart.spain_max,colend.belgium_max,colend.britain_max,colend.france_max,colend.germany_max,colend.italy_max,colend.netherlands_max,colend.portugal_max,colend.spain_max,colstart.belgium_mean,colstart.britain_mean,colstart.france_mean,colstart.germany_mean,colstart.italy_mean,colstart.netherlands_mean,colstart.portugal_mean,colstart.spain_mean,colend.belgium_mean,colend.britain_mean,colend.france_mean,colend.germany_mean,colend.italy_mean,colend.netherlands_mean,colend.portugal_mean,colend.spain_mean
Lesotho,5,5,5,5,6,5,4,4,4,4,2,3,3,3,3,3,3,3,72.17603927,50.31807569,18.49702,82.58196524,71.41994216,10.40592597,21.10186646,28.90641412,12.21725464,6.594313961,2433300,NA,6.3,NA,7.676000000000001,Africa,41,0,87,5.1,2279.89587402333,2405.09651744583,44.8797,NA,NA,23.7,NA,0.52,0.2225541,NA,NA,NA,1.54686363496641,44000000,74.49375796,8.64,5.200780116,21.98574388,3238.5508,0.0692,NA,8,2159067,2159067,2142252,NA,NA,NA,NA,33.21714,NA,NA,0,1,0,0,0,0,0,0,NA,1884,NA,NA,NA,NA,NA,NA,NA,1966,NA,NA,NA,NA,NA,NA,NA,1874,NA,NA,NA,NA,NA,NA,NA,1966,NA,NA,NA,NA,NA,NA
Liberia,6,6,5,5,7,7,7,6,5,6,4,4,3,4,3,4,3,4,75.26179159,18.16357204,18.80147,83.96244907,47.49560802,8.700657475,29.33203598,NA,3.488080869,14.82136565,1954040,NA,4.7,78,7.890000000000001,Africa,32,0,74,6.3,1353.84291976355,1428.18929960426,35.26546,NA,NA,33.3,67,0.435,0.978316668,89,96,NA,0.516520750324204,12000000,56.56895266,8.459999999999999,12.54947006,37.68302633,760.73505,0.0376,94,6,5180208,5180208,5057677,NA,22,NA,NA,11.605671,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,6,7,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,6,99.8915238,92.10600221,NA,99.8915238,99.25215755,0,7.146155344,NA,0.108476201,0,15350000,NA,7.3,31,1.46,Africa,17,1039,73,8.7,10282.2910804458,10846.9438234929,NA,NA,NA,NA,48,0.706,-1.975751432,35,38,NA,15.4795763013832,3738000000,91.4792962,1.15,0,0.747842447,NA,2.0905,48,0,6958538,6958538,6871287,NA,44,NA,NA,1.192523,NA,NA,0,1,0,0,1,0,0,0,NA,1946,NA,NA,1912,NA,NA,NA,NA,1952,NA,NA,1942,NA,NA,NA,NA,1946,NA,NA,1912,NA,NA,NA,NA,1952,NA,NA,1942,NA,NA,NA
Liechtenstein,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,1,100,99.95,NA,100,99.95,0,0,100,0,0.05,5160,NA,12.5,NA,NA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916,4.369621513,NA,NA,NA,NA,NA,125.5898367,NA,0,0,NA,NA,NA,NA,38254,38254,38137,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,1,1,1,1,1,2,98.01334724,93.93707198,77.90629,98.01334724,96.04962839,0,2.112556407,94.92379005,1.98665276,3.950371615,2947000,NA,13,56,0.517,Europe,59,0,92,2.7,36732.034744031,38734.7293153001,35.707809999999995,NA,NA,5,69,0.858,2.225502696,79,80,NA,2.02672324994177,634000000,168.8207501,0.3700000000000001,0,0,25992.143,6.3528,67,10,2689862,2689862,2794700,NA,20,NA,NA,30.442826,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99.87993254,97.59134711,96.16869,99.87993254,99.97210871,0,2.380761599,99.4590922,0.120067465,0.027891287,131559,68347.9132140423,12.1,48,0.237,Europe,81,0,99,1.3,110261.157353302,118359.526161843,35.36809,30.190001,33.790001,NA,40,0.904,5.129846482,24,33,NA,0.622177913574756,293000000,135.7577766,0.27999999999999997,0,0,74605.234,3.009,29,10,634814,634814,632275,NA,44,NA,NA,40.57977,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Macedonia,NA,NA,NA,NA,NA,NA,4,3,4,3,3,3,3,3,4,3,3,3,97.74281579,98.32787804,71.7985,99.37780993,99.18014274,1.63499414,0.852264704,76.833405870000007,0.574228476,0.691740974,1264000,NA,9.6,39,1.022,Europe,37,0,92,4.2,15848.4192939955,16926.6241425557,32.9607,NA,NA,5.9,55,0.757,0.848406672,68,53,NA,1.24445933346224,106000000,92.203062310000007,0.61,0.047961597,0.128116286,13396.587,2.8736,53,9,2082661,2082661,2083380,NA,33,NA,NA,25.210502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,6,6,5,6,4,4,2,4,2,4,3,3,6,4,3,4,3,4,53.38588491,12.31140011,5.727489,56.10385789,32.58327514,2.71797298,20.27187503,20.53937743,32.31145967,25.03999881,40895000,NA,6.1,42,7.811,Africa,25,139,79,5.8,1510.14172617809,1593.07126604476,42.64818,47.439999,42.650002,38,77,0.519,-0.23040146,89,62,NA,0.613169182245806,59900000,40.57034123,5.0600000000000005,11.58468244,42.37672605,1591.5533,0.1812,87,6,28427333,28427333,27691019,NA,11,NA,NA,10.813258,NA,Sub-Saharan Africa,0,0,1,0,0,0,0,0,NA,NA,1895,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1890,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
Malawi,6,7,6,7,7,6,2,3,3,3,4,4,3,4,3,3,3,3,70.04772851,26.55426445,16.13567,91.99854348,40.03958563,21.95081497,13.48532118,NA,5.776304407,55.49674967,5650000,NA,4.5,62,7.085,Africa,32,0,95,6.5,1486.77824843475,1568.42478126614,44.694309999999994,NA,NA,26.5,82,0.477,0.435626128,75,64,NA,0.885396813321633,39600000,47.78113633,4.16,2.22515211,4.463664696,1038.3186,0.0358,95,6,19647681,19647681,19129955,NA,24,NA,NA,15.768519,NA,NA,0,1,0,0,0,0,0,0,NA,1891,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,NA,NA,NA,1891,NA,NA,NA,NA,NA,NA,NA,1964,NA,NA,NA,NA,NA,NA
Malaysia,3,4,3,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4,97.09990707,99.57900442,80.67462,97.45444676,99.57900442,0.354539686,0,93.81821662,2.545553241,0.42099558,8571000,9229.69325153374,10.2,46,0.779,Asia,47,0,98,6.9,26435.1715707484,27886.8608901388,41.0664,49.150002,41.040001,13.3,45,0.802,-0.212651876,33,41,NA,1.03397877318671,4295000000,139.5962795,0.86,0.664440003,0.283015011,22775.844,1.5358,57,5,32776195,32776195,32365998,NA,31,NA,NA,10.832697,NA,East Asia and Pacific,0,1,0,0,0,0,1,0,NA,1888,NA,NA,NA,NA,1511,NA,NA,1963,NA,NA,NA,NA,1641,NA,NA,1847,NA,NA,NA,NA,1511,NA,NA,1958,NA,NA,NA,NA,1641,NA
Maldives,5,5,5,5,6,5,6,6,6,5,6,5,3,4,4,5,4,5,99.5444386,99.15533568,NA,99.5924893,99.45372282,0.048050691,0.298387141,NA,0.407510705,0.546277181,7900,NA,6.3,42,0.8470000000000001,Asia,31,0,99,7.4,13049.0466602078,13765.6359819057,31.28565,NA,NA,NA,45,0.717,0.555945257,69,78,NA,NA,NA,155.9539168,0.76,0,0,13829.851,4.5627,47,NA,543620,543620,540542,NA,30,NA,NA,18.027234,NA,NA,0,1,0,0,0,0,0,0,NA,1887,NA,NA,NA,NA,NA,NA,NA,1965,NA,NA,NA,NA,NA,NA,NA,1887,NA,NA,NA,NA,NA,NA,NA,1965,NA,NA,NA,NA,NA,NA
Mali,7,6,7,6,6,5,2,3,2,3,2,2,2,3,5,4,6,5,82.54729103,45.39420987,13.25341,86.40202556,62.71441284,3.854734527,17.32020297,NA,12.24697135,32.34944322,41201000,NA,2.3,NA,12.742,Africa,32,1170,77,6.8,2216.77326231685,2338.50752304608,33.03796,NA,NA,27.8,NA,0.427,-1.197660938,NA,NA,NA,2.70917035865403,366000000,116.6214561,9.4,1.35100309,4.93614394,2334.3462,0.1286,NA,5,20855724,20855724,20250834,NA,NA,NA,NA,14.075713,NA,NA,0,0,1,0,0,0,0,0,NA,NA,1904,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1897,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
Malta,2,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,100,99.96447143,96.328,100,99.96447143,0,0,100,0,0.035528569,10380,NA,11.3,NA,0.656,Europe,54,0,98,3.6,39222.1433509207,42640.1161038759,28.665090000000003,NA,NA,NA,NA,0.878,2.803173634,NA,NA,NA,0.564620805336195,56800000,144.0568429,0.7000000000000001,0,0,30830.996,2.8598,NA,NA,442790,442790,525285,NA,NA,NA,NA,31.387198,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marshall Islands,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,88.57204698,84.15036532,NA,99.96002597,89.67542562,11.387979,5.5250603,NA,0.039974026,0.570288416,8600,NA,10.9,NA,2.475,Oceania,NA,0,79,NA,4029.08632919678,4199.47614036895,NA,NA,NA,NA,NA,0.708,2.064719691,NA,NA,NA,NA,NA,27.55864825,3.18,0,9.754285962,NA,0.4233,NA,NA,59618,59618,59194,NA,NA,NA,NA,17.449791,NA,NA,0,1,0,1,0,0,0,0,NA,1886,NA,1885,NA,NA,NA,NA,NA,1885,NA,1914,NA,NA,NA,NA,NA,1886,NA,1885,NA,NA,NA,NA,NA,1885,NA,1914,NA,NA,NA,NA
Mauritania,7,6,7,6,7,6,6,6,6,5,6,4,6,5,6,5,5,5,71.68104923,49.83422278,20.44538,85.15794115,57.47754776,13.47689193,7.643324983,NA,14.82032681,11.84748559,39661000,NA,4.5,NA,4.9270000000000005,Africa,27,0,81,7.7,4983.2206333331,5256.87454740796,32.619350000000004,39.029999,32.619999,27.3,NA,0.52,-0.06432388,NA,NA,NA,2.81895547123998,144000000,104.090067,7.290000000000001,0.021732034,30.674966649999998,2988.7908,0.1865,NA,-2,4775110,4775110,4649660,NA,NA,NA,NA,10.813874,NA,Sub-Saharan Africa,0,0,1,0,0,0,0,1,NA,NA,1903,NA,NA,NA,NA,1884,NA,NA,1960,NA,NA,NA,NA,1975,NA,NA,1882,NA,NA,NA,NA,1884,NA,NA,1960,NA,NA,NA,NA,1975
Mauritius,3,3,2,2,2,2,1,2,1,2,1,1,1,2,1,2,1,2,99.8662547,95.50483772,82.20827,99.8662547,99.46739074,0,3.962553025,NA,0.133745301,0.401927338,86000,NA,9.3,NA,1.4740000000000002,Africa,51,0,96,3.7,19469.5245883739,20538.6949103031,36.76121,NA,NA,11,NA,0.79,0.958180399,NA,NA,NA,0.153188085092372,23000000,147.0148102,1.6,0,0.13068192,22827.002,2.5331,NA,10,1273428,1273428,1265740,NA,NA,NA,NA,19.725272,NA,NA,0,1,1,0,0,0,0,0,NA,1810,1715,NA,NA,NA,NA,NA,NA,1968,1810,NA,NA,NA,NA,NA,NA,1810,1715,NA,NA,NA,NA,NA,NA,1968,1810,NA,NA,NA,NA,NA
Mexico,3,4,4,4,4,4,4,4,2,3,2,2,3,3,3,3,3,4,99.67956828,92.424062609999993,38.69535,99.67956828,99.21127499,0,6.787212379,43.02628491,0.320431717,0.692268397,106891000,17271.1910055443,8.6,51,1.738,North America,28,0,82,6,17887.7507356971,18833.0824152277,45.37549,52.580002,48.310001,6.5,87,0.774,-1.423018386,80,83,NA,0.516843479319623,6893000000,95.66159745,1.42,0,0.096456614,17382.658,2.3827,90,8,130262220,130262220,128932753,NA,43,NA,NA,13.148223,NA,Latin America and Caribbean,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1521,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1520,NA,NA,NA,NA,NA,NA,NA,1821
Micronesia (country),NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,Oceania,NA,0,NA,3.4,3466.41329281782,3613.00769615136,40.05763,NA,NA,NA,NA,0.627,2.577860364,NA,NA,NA,NA,NA,20.73767035,2.94,NA,NA,NA,0.177,NA,NA,116255,116255,115021,NA,NA,NA,NA,32.089552,NA,NA,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,1899,NA,NA,NA,NA,NA,NA,NA,1650,NA,NA,NA,NA,NA,NA,NA,1899
Moldova,NA,NA,NA,NA,NA,NA,4,4,2,4,3,4,3,3,3,3,3,3,90.56996224,78.72914055,17.75575,92.089739,89.94599294,1.519776762,11.21685239,74.07106737,7.910260997,9.92065472,2257100,NA,11.6,53,1.636,Europe,33,0,91,5.7,12324.7362793838,13001.550045211001,25.66165,36.43,27.030001,7.6,66,0.7,0.484552357,80,75,NA,0.376936994731914,28600000,89.37944428,1.4400000000000002,0,0.133352337,5988.9336,3.2066,76,9,4024025,4024025,2617820,NA,20,NA,NA,27.824073,NA,Eastern Europe and Central Asia,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Monaco,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,2,1,2,1,3,1,100,100,NA,100,100,0,0,100,0,0,NA,NA,NA,NA,NA,Europe,NA,0,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.289002957,NA,NA,NA,NA,NA,86.70311056,0.31000000000000005,0,0,NA,7.5067,NA,NA,39520,39520,39244,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,7,7,7,7,4,4,2,3,2,3,2,2,2,2,1,2,1,2,85.49562527,67.74079142,91.82178,87.6420542,88.81354771,2.14642893,21.07275629,30.06084561,6.633366714,2.764586483,113433000,NA,10.1,24,2.9350000000000005,Asia,37,0,98,5.1,11470.6738325698,12100.5866986311,32.740990000000004,32.889999,32.349998,12.6,39,0.741,0.4774756,27,46,NA,0.70320181363242,109000000,137.0136492,1.56,5.724579081,8.421865806,10716.021,2.8592,28,10,3329282,3329282,3278292,NA,11,NA,NA,24.733113,NA,East Asia and Pacific,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,3,3,98.85691652,97.77177272,59.82601,99.40239534,98.02013195,0.54547882,0.248359231,85.07220311,0.592312011,1.938022286,256800,NA,11.3,NA,0.426,Europe,45,0,86,4.5,18278.730791552,20566.6384071985,38.48795,NA,NA,5,NA,0.814,1.557095013,NA,NA,NA,1.64354435084496,66800000,183.2837304,0.23,0.005292651,0.041845763,17888.533,2.7557,NA,9,628051,628051,621718,NA,NA,NA,NA,36.52609,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,4,4,4,5,4,4,5,5,5,4,5,4,5,4,5,4,5,5,90.40234468,87.25043077,39.07011,95.66589428,88.78529161,5.263549601,1.534860841,79.94957617,2.8776725,9.481261268,30069000,NA,5.5,56,2.193,Africa,43,0,99,6.5,6916.34641150088,7296.15806462019,39.54851,40.639999,39.549999,10.4,73,0.667,0.335490756,70,65,NA,3.09449241316458,3293000000,127.9529984,2.14,1.456433219,1.733447118,8265.6484,0.7308,79,-4,37344787,37344787,36910558,NA,22,NA,NA,20.018527,NA,Middle East and North Africa,0,0,1,0,0,0,0,1,NA,NA,1912,NA,NA,NA,NA,1884,NA,NA,1956,NA,NA,NA,NA,1975,NA,NA,1912,NA,NA,NA,NA,1884,NA,NA,1956,NA,NA,NA,NA,1975
Mozambique,7,7,6,7,6,6,3,4,3,4,3,4,4,3,4,4,5,4,63.36942563,37.20486798,NA,73.34521013,42.17543686,9.975784507,4.970568871,NA,16.72614511,37.08097089,41413832,NA,3.5,45,7.913,Africa,23,159,88,6.4,1229.08001865892,1296.57503494766,53.996680000000005,47.040001,54,30.9,74,0.437,-0.087209576,69,49,NA,0.89518162686025,168000000,48.65094674,7.420000000000001,9.928644759,20.74359225,1376.5532,0.0838,84,5,32163045,32163045,31255435,NA,24,NA,NA,25.052624,NA,Sub-Saharan Africa,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1885,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1695,NA,NA,NA,NA,NA,NA,NA,1974,NA
Myanmar,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,83.71819191,73.63687714,22.6204,85.31362886,85.22427633,1.595436949,11.58739919,58.83109202,5.10942478,7.779653934,12889000,NA,4.9,20,4.897,Asia,29,617,90,8,4544.02156851419,4793.55683483307,30.69687,NA,NA,20.1,26,0.578,-2.467334008,40,17,NA,1.35460116507252,3756000000,113.8444919,4.470000000000001,9.576946362,6.996069735,5730.1064,0.677,47,-3,54806014,54806014,54409794,NA,2,NA,NA,6.439273,NA,NA,0,1,0,0,0,0,0,0,NA,1886,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA
Namibia,NA,NA,NA,NA,2,3,2,3,2,3,2,2,2,2,2,2,2,2,84.27003628,35.25996865,58.06324,91.35766379,48.06485793,7.08762751,12.80488927,NA,3.740143722,4.775832067,38810000,NA,6.8,NA,4.36,Africa,53,0,87,4.6,8893.81315720283,9382.21753673983,59.06661,NA,NA,24.3,NA,0.647,1.54286351,NA,NA,NA,3.02832946632461,500000000,113.1938682,4.24,4.902192485,47.15931001,10301.676,0.4182,NA,6,2587344,2587344,2540916,NA,NA,NA,NA,31.280005,NA,NA,0,1,0,1,0,0,0,0,NA,1915,NA,1885,NA,NA,NA,NA,NA,1920,NA,1915,NA,NA,NA,NA,NA,1915,NA,1882,NA,NA,NA,NA,NA,1920,NA,1914,NA,NA,NA,NA
Nauru,2,2,2,2,1,2,1,3,1,3,1,1,1,1,2,2,2,3,100,65.59552643,NA,100,96.32235892,0,30.7268325,NA,0,1.088755277,400,NA,NA,NA,NA,Oceania,NA,0,96,NA,13527.411941066,14099.4853537362,34.76618000000001,NA,NA,NA,NA,NA,1.743830913,NA,NA,NA,NA,NA,94.58053533,3.09,0,2.588885802,NA,1.3462,NA,NA,10873,10873,10834,NA,NA,NA,NA,32.228916,NA,NA,0,1,0,1,0,0,0,0,NA,1914,NA,1888,NA,NA,NA,NA,NA,1968,NA,1914,NA,NA,NA,NA,NA,1914,NA,1888,NA,NA,NA,NA,NA,1944,NA,1914,NA,NA,NA,NA
Nepal,3,4,3,4,4,4,3,4,3,4,6,5,4,4,3,4,3,4,90.07454179,76.61121355,33.80135,94.05436751,87.66384641,3.979825725,11.05263286,17.57565999,4.699081176,2.553565743,4121000,NA,4.9,54,3.2460000000000004,Asia,31,21,93,7.6,3800.06570306646,4008.74658033482,32.84059,NA,NA,21.2,85,0.574,0.261589965,77,79,NA,1.56308145030184,304000000,139.4463618,3.08,1.246551314,9.782587852,2720.2031,0.7486,80,6,29674920,29674920,29136808,NA,33,NA,NA,21.908582,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99.99999929,97.68577085,99.2956,99.99999929,99.99944206,0,2.313671211,99.97241977,7.12e-7,5.57937e-4,1822000,36641.5821529546,12.2,NA,0.427,Europe,82,0,94,1.2,54209.5638357302,59228.8349537605,28.12108,28.5,28.6,NA,NA,0.931,3.410230213,NA,NA,NA,1.34065168147761,9249000000,127.2845209,0.4,0,0,46601.563,3.6054,NA,10,17173094,17173094,17441139,NA,NA,NA,NA,39.810206,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,99.52554,100,100,0,0,100,0,0,10467000,28659.149882749,12.5,36,0.496,Oceania,87,0,92,1.1,42404.3937381567,44251.7942246991,NA,33.799999,35,NA,25,0.917,3.445404703,20,33,NA,1.49886240117743,2067000000,134.9319679,0.47,0,0,36537.797,3.5898,24,10,4860642,4860642,5084300,NA,35,NA,NA,31.238945,NA,Advanced industrial economies,0,1,0,0,0,0,0,0,NA,1840,NA,NA,NA,NA,NA,NA,NA,1920,NA,NA,NA,NA,NA,NA,NA,1840,NA,NA,NA,NA,NA,NA,NA,1909,NA,NA,NA,NA,NA,NA
Nicaragua,5,5,5,5,3,3,4,4,3,3,3,3,4,4,4,3,6,5,81.7087538,73.02109747,18.8548,83.21539948,80.26550066,1.506645682,7.244403193,55.51591693,13.53053114,12.942726650000001,5065000,NA,6.7,NA,1.7190000000000003,North America,25,0,98,5.1,5280.14058082508,5570.09987484932,46.156290000000006,52.880001,46.16,13.6,NA,0.658,0.113044035,NA,NA,NA,0.654937274656022,71800000,88.43373663,1.66,3.254069378,6.791772689,5209.7212,0.9775,NA,9,6702379,6702379,6624554,NA,NA,NA,NA,25.881093,NA,Latin America and Caribbean,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1523,NA,NA,NA,NA,NA,NA,NA,1821
Niger,7,6,7,6,6,5,3,5,4,4,3,3,5,4,3,4,4,4,46.91179747,14.75130566,3.490045,68.56569616,24.82928769,21.6538987,10.07798203,NA,27.02751244,7.064520589,46600000,NA,2,NA,11.2,Africa,34,395,81,7.3,1196.87755957473,1262.60417554175,34.276579999999996,NA,NA,30.4,NA,0.354,-0.467373905,NA,NA,NA,1.83998401549656,164000000,40.63849996,8.040000000000001,4.406791392,68.10619172,908.6496,0.0433,NA,6,25130810,25130810,24206636,NA,NA,NA,NA,9.335847,NA,NA,0,0,1,0,0,0,0,0,NA,NA,1922,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1910,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
Nigeria,2,3,7,5,5,5,7,7,4,4,4,4,4,4,4,5,4,5,77.60905338,42.72256141,44.1732,82.58845273,62.26056085,4.979399343,19.53799944,21.66928927,11.79691148,19.07694108,69123450,NA,6.2,41,10.947,Africa,27,3086,57,8.7,4916.72138086439,5186.72348377932,35.12774,NA,NA,31.1,69,0.532,-2.058687075,66,73,NA,0.460792414766158,2091000000,91.85357742,11.72,5.614635794,18.66249807,4285.0645,0.3806,92,7,211400704,211400704,206139587,NA,24,NA,NA,7.1707,NA,NA,0,1,0,0,0,0,0,0,NA,1899,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1874,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA
North Korea,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,93.84384303,84.66546354,NA,94.52697421,85.29303737,0.683131187,0.627573828,66.38089515,5.20969278,14.70696263,2630000,NA,NA,NA,2.4920000000000004,Asia,14,0,97,9.6,NA,NA,NA,NA,NA,34,NA,NA,-2.437614552,NA,NA,NA,NA,NA,14.98240747,1.7300000000000002,0.263333006,0,NA,3.6834,NA,-10,25887045,25887045,25778815,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Norway,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,99.9999955,98.05107359,100,99.9999955,99.9999955,0,1.948921907,98.64284115,4.5e-6,4.5e-6,986297,42275.081717092406,12.6,41,0.28700000000000003,Europe,84,0,97,1.6,63585.9035142969,63197.9814705865,27.55783,27.620001,27.5,NA,29,0.953,4.003323819,9,21,NA,1.68412019139258,6080000000,107.3802483,0.24,0,0,60590.25,2.9164,16,10,5465629,5465629,5379475,NA,40,NA,NA,39.85386,NA,Advanced industrial economies,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
